University
國立中央大學 National Central University (NCU)
國立成功大學 National Cheng Kung University (NCKU)
國立中山大學 National Sun Yat-sen University (NSYSU)
國立臺灣大學 National Taiwan University (NTU)
國立清華大學 National Tsing Hua University (NTHU)
國立陽明交通大學 National Yang Ming Chiao Tung University (NYCU)
國立政治大學 National Chengchi University (NCCU)
國立暨南國際大學 National Chi Nan University (NCNU)
國立嘉義大學 National Chiayi University (NCYU)
國立中正大學 National Chung Cheng University (CCU)
國立中興大學 National Chung Hsing University (NCHU)
國立東華大學 National Dong Hwa University (NDHU)
國立宜蘭大學 National Ilan University (NIU)
國立金門大學 National Quemoy University (NQU)
國立屏東大學 National Pingtung University (NPTU)
國立臺北大學 National Taipei University (NTPU)
國立臺東大學 National Taitung University (NTTU)
國立臺灣海洋大學 National Taiwan Ocean University (NTOU)
國立聯合大學 National United University (NUU)
國立臺南大學 National University of Tainan (NUTN)
國立高雄大學 National University of Kaohsiung (NUK)
臺北市立大學 University of Taipei (UT)
國立彰化師範大學 National Changhua University of Education (NCUE)
國立高雄師範大學 National Kaohsiung Normal University (NKNU)
國立臺中教育大學 National Taichung University of Education (NTCU)
國立臺北教育大學 National Taipei University of Education (NTUE)
國立臺灣師範大學 National Taiwan Normal University (NTNU)
國立體育大學 National Taiwan Sport University (NTSU)
國立臺灣藝術大學 National Taiwan University of Arts (NTUA)
國立臺灣體育運動大學 National Taiwan University of Physical Education and Sport (NTUPES)
國立臺南藝術大學 Tainan National University of the Arts (TNNUA)
國立臺北藝術大學 Taipei National University of the Arts (TNUA)
國立空中大學 National Open University (NOU)
高雄市立空中大學 Open University of Kaohsiung (OUK)
真理大學 Aletheia University (AU)
亞洲大學 Asia University (ASIA)
長庚大學 Chang Gung University (CGU)
長榮大學 Chang Jung Christian University (CJCU)
中國醫藥大學 China Medical University (CMU)
中國文化大學 Chinese Culture University (CCU)
中華大學 Chung Hua University (CHU)
中山醫學大學 Chung Shan Medical University (CSMU)
中原大學 Chung Yuan Christian University (CYCU)
中信金融管理學院 CTBC Business School (CTBC)
大葉大學 Dayeh University (DYU)
逢甲大學 Feng Chia University (FCU)
佛光大學 Fo Guang University (FGU)
輔仁大學 Fu Jen Catholic University (FJU)
玄奘大學 Hsuan Chuang University (HCU)
華梵大學 Huafan University (HFU)
義守大學 I‑Shou University (ISU)
開南大學 Kainan University (KNU)
高雄醫學大學 Kaohsiung Medical University (KMU)
馬偕醫學院 Mackay Medical College (MMC)
銘傳大學 Ming Chuan University (MCU)
明道大學 MingDao University (MDU)
南華大學 Nanhua University (NHU)
靜宜大學 Providence University (PU)
實踐大學 Shih Chien University (USC)
世新大學 Shih Hsin University (SHU)
東吳大學 Soochow University (SCU)
臺北醫學大學 Taipei Medical University (TMU)
台灣首府大學 Taiwan Shoufu University (TSU)
淡江大學 Tamkang University (TKU)
大同大學 Tatung University (TTU)
稻江科技暨管理學院 Toko University (TOKO)
東海大學 Tunghai University (THU)
慈濟大學 Tzu Chi University (TCU)
康寧大學 University of Kang Ning (UKN)
元智大學 Yuan Ze University (YZU)
國立勤益科技大學 National Chin‑Yi University of Technology (NCUT)
國立虎尾科技大學 National Formosa University (NFU)
國立高雄餐旅大學 National Kaohsiung University of Hospitality and Tourism (NKUHT)
國立高雄科技大學 National Kaohsiung University of Science and Technology (NKUST)
國立澎湖科技大學 National Penghu University of Science and Technology (NPU)
國立屏東科技大學 National Pingtung University of Science and Technology (NPUST)
國立臺中科技大學 National Taichung University of Science and Technology (NTCUST)
國立臺北商業大學 National Taipei University of Business (NTUB)
國立臺北護理健康大學 National Taipei University of Nursing and Health Science (NTUNHS)
國立臺北科技大學 National Taipei University of Technology (NTUT, TaipeiTech)
國立臺灣科技大學 National Taiwan University of Science and Technology (TaiwanTech, NTUST)
國立雲林科技大學 National Yunlin University of Science and Technology (YunTech, NYUST)
國立臺南護理專科學校 National Tainan Junior College of Nursing (NTJCN)
國立臺東專科學校 National Taitung Junior College (NTC)
國立臺灣戲曲學院 National Taiwan College of Performing Arts (NTCPA)
亜東科技大学 Asia Eastern University of Science and Technology (AEUST)
中臺科技大學 Central Taiwan University of Science and Technology (CTUST)
長庚科技大學 Chang Gung University of Science and Technology (CGUST)
朝陽科技大學 Chaoyang University of Technology (CYUT)
正修科技大學 Cheng Shiu University (CSU)
嘉南藥理大學 Chia Nan University of Pharmacy and Science (CHNA)
健行科技大學 Chien Hsin University of Science and Technology (UCH)
建國科技大學 Chienkuo Technology University (CTU)
致理科技大學 Chihlee University of Technology (CLUT)
中華科技大學 China University of Science and Technology (CUST)
中國科技大學 China University of Technology (CUTE)
中州科技大學 Chung Chou University of Science and Technology (CCUT)
中華醫事科技大學 Chung Hwa University of Medical Technology (CUMT)
崇右影藝科技大學 Chungyu University of Film and Arts (CUFA)
遠東科技大學 Far East University (FEU)
輔英科技大學 Fooyin University (FYU)
修平科技暨管理學院 Hsiuping University of Science and Technology (HUST)
弘光科技大學 Hungkuang University (HK)
宏國德霖科技大學 HungKuo Delin University of Technology (HDUT)
華夏科技大學 Hwa Hsia University of Technology (HWH)
景文科技大學 Jinwen University of Science and Technology (JUST)
高苑科技大學 Kao Yuan University (KYU)
崑山科技大學 Kun Shan University (KSU)
嶺東科技大學 Ling Tung University (LTU)
龍華科技大學 Lunghwa University of Science and Technology (LHU)
美和科技大學 Meiho University (MU)
明志科技大學 Ming Chi University of Technology (MCUT)
明新科技大學 Minghsin University of Science and Technology (MUST)
