Rank 2024,Name,CKPG,GICS Industry,GICS Sector,Country,HQ,USD Purchasing Power Parity Revenue,Energy Productivity,Energy Productivity Score,Carbon Productivity,Carbon Productivity Score,Water Productivity,Water Productivity Score,Water Whole Universe Percentrank,Water Top Quartile Percentrank,Water Penalty,Waste Productivity,Waste Productivity Score,Waste Whole Universe Percentrank,Waste Top Quartile Percentrank,Waste Penalty,VOC Productivity,VOC Productivity Score,VOC Whole Universe Percentrank,VOC Penalty,NOX Productivity,NOX Productivity Score,NOX Whole Universe Percentrank,NOX Penalty,SOX Productivity,SOX Productivity Score,SOX Whole Universe Percentrank,SOX Penalty,PM Productivity,PM Productivity Score,PM Whole Universe Percentrank,PM Penalty,Cash Taxes Paid Ratio,Cash Taxes Paid Score,Cash Taxes Paid Whole Universe EBITDA Percentrank,Cash Taxes Paid Top Decile Ratio Percentrank,Cash Taxes Paid Penalty,Sustainable Revenue Ratio,Sustainable Revenue Score,Sustainable Investment Ratio,Sustainable Investment Score,CEO to average worker pay ratio,CEO Average Worker Pay Score,Retirement contributions FTE,Retirement contributions FTE Percentrank,Projected benefit obligation FTE,Projected benefit obligation FTE Percentrank,Fair value projected benefit obligation,Fair value projected benefit obligation Percentrank,Pension Fund Quality,Injury Rate Ratio,Injury Rate Score,Injury Rate Percentrank,Injury Rate Top Quartile Percentrank,Injury Rate Penalty,Fatalities Per Employee Ratio,Fatalities Whole Universe Percentrank,Fatalities Penalty,Employee Turnover Ratio,Employee Turnover Score,Non male Boards Ratio,Non male Boards Score,Non male Executives Ratio,Non male Executives Score,Racially Diverse Among Boards Ratio,Racially Diverse Among Boards Score,Racially Diverse Among Executives Ratio,Racially Diverse Among Executives Score,Paid Sick Leave Score,Sustainability Paylink Score,Sustainability Paylink Variable Ratio,Sustainability Paylink Variable Ratio Score,Supplier Score,Political Influence (Bonus) Score,Fines Sum,Fines Percentrank,Fines Deduction,Overall Score
79,Sun Life Financial Inc,Insurance companies,Insurance,Financials,Canada,"Toronto, Canada","$18,600,533,563","$22,985",13.60%,"$549,255",22.70%,"$11,153",8.10%,51.60%,,,,,,,,,,,,,,,,,,,,,,,,15.40%,65.30%,91.60%,,,6.20%,88.90%,,,124:1,22.20%,"$3,853",53.70%,"$43,448",50.00%,101.30%,70.20%,45.30%,,,,,,0,,,15.00%,39.00%,50.00%,97.50%,41.70%,91.40%,25.00%,87.70%,16.70%,82.50%,100.00%,100.00%,0.00%,0.00%,46.10%,0%,,,,C
80,StarHub Ltd,Telecom providers,Wireless Telecommunication Services,Communication Services,Singapore,"Singapore, Singapore","$2,848,592,411","$6,349",59.10%,"$50,109",61.10%,"$297,659",92.20%,4.00%,,,"$153,977,968",90.20%,4.30%,,,,,,,,,,,,,,,,,,,12.90%,91.20%,63.00%,,,7.60%,16.70%,57.20%,70.30%,17:1,92.30%,"$21,383",100.00%,,,,,75.00%,0.24,53.80%,45.00%,,,0,,,22.00%,17.40%,25.00%,52.00%,22.20%,60.90%,58.30%,99.20%,44.40%,96.40%,100.00%,0.00%,0.00%,0.00%,56.30%,0%,,,,C
81,Hewlett Packard Enterprise Co,Computers and peripherals manufacturing,"Technology Hardware, Storage & Peripherals",Information Technology,U.S.,"Spring, U.S.","$28,496,000,000","$23,908",34.60%,"$93,302",31.20%,,,,,,"$26,220,819",70.10%,25.80%,,,,,,,,,,,,,,,,,,,7.40%,15.10%,94.00%,23.60%,2.50%,33.10%,37.50%,38.70%,100.00%,,,"$3,345",57.10%,"$162,406",92.30%,104.20%,96.80%,65.10%,0.01,80.00%,3.50%,,,0,,,9.00%,92.30%,46.20%,94.10%,21.40%,60.20%,7.70%,60.30%,7.10%,67.60%,100.00%,100.00%,0.00%,0.00%,,0%,,,,C
82,Svenska Handelsbanken AB,Banks,Banks,Financials,Sweden,"Stockholm, Sweden","$5,798,261,041","$34,033",38.80%,"$1,052,698",90.80%,"$76,590",57.10%,13.30%,,,,,,,,,,,,,,,,,,,,,,,,26.30%,99.20%,88.00%,,,7.20%,77.50%,,,17:1,82.10%,$904,5.30%,"$265,457",97.90%,148.70%,99.60%,28.30%,,,,,,,,,7.30%,76.30%,57.10%,98.60%,35.30%,85.40%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,,,,0%,"$165,110",86.80%,1.00%,C
83,Nordea Bank Abp,Banks,Banks,Financials,Finland,"Helsinki, Finland","$21,637,491,827","$167,253",84.00%,"$3,242,058",82.10%,"$234,907",92.20%,14.90%,,,,,,,,,,,,,,,,,,,,,,,,10.00%,25.50%,98.10%,,,3.90%,66.70%,,,35:1,60.70%,"$15,110",97.90%,"$158,740",90.70%,95.40%,41.70%,81.50%,,,,,,0,,,9.60%,68.10%,50.00%,97.50%,33.30%,79.30%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,9.70%,79.00%,43.60%,0%,,,,C
84,Orkla ASA,Food and beverage manufacturing,Food Products,Consumer Staples,Norway,"Oslo, Norway","$5,436,948,999","$2,022",39.70%,"$33,788",70.40%,$713,48.50%,70.30%,,,"$283,086",50.00%,63.00%,,,,,,,,,,,,,,,,,,,17.10%,66.70%,62.50%,,,23.10%,88.90%,2.90%,74.30%,17:1,87.20%,"$2,570",55.60%,"$10,321",31.50%,19.30%,8.90%,41.70%,0.76,40.50%,76.60%,,,0,,,19.00%,36.40%,45.50%,93.10%,30.00%,77.80%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,,,6.40%,0%,,,,C
85,Telus Corp,Telecom providers,Diversified Telecommunication Services,Communication Services,Canada,"Vancouver, Canada","$14,588,841,434","$3,936",39.50%,"$64,565",72.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,8.10%,63.30%,93.60%,26.60%,2.00%,26.20%,97.60%,22.60%,37.80%,338:1,7.70%,"$2,384",25.00%,"$59,965",58.80%,98.90%,64.70%,24.60%,0.4,30.80%,60.20%,,,0.000009,94.90%,1.00%,18.00%,30.40%,42.90%,88.00%,30.00%,77.80%,21.40%,83.00%,20.00%,85.80%,100.00%,100.00%,2.70%,52.50%,65.90%,0%,,,,C
86,Henkel AG & Co KgaA,Personal products (retail chemical),Household Products,Consumer Staples,Germany,"Düsseldorf, Germany","$34,536,409,953","$5,966",53.90%,"$58,936",41.80%,"$4,445",57.80%,70.60%,,,"$1,151,214",72.90%,69.40%,,,"$63,022,646",58.00%,0.761316872,1.00%,,,,,,,,,,,,,19.40%,63.60%,93.70%,82.60%,0.00%,20.80%,90.90%,1.20%,75.00%,132:1,30.00%,,,"$115,922",85.70%,94.80%,69.80%,13.90%,0.26,50.00%,47.40%,,,0,,,7.80%,100.00%,43.80%,90.80%,20.00%,59.90%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,2.70%,52.20%,,0%,,,,C
87,Prologis Inc,Real estate and leasing,Equity Real Estate Investment Trusts (REITs),Real Estate,U.S.,"San Francisco, U.S.","$9,591,259,000","$111,098",98.30%,"$1,614,690",99.40%,"$1,464,583",99.50%,3.30%,,,,,,,,,,,,,,,,,,,,,,,,3.20%,58.50%,89.90%,,,2.20%,36.40%,3.90%,58.80%,170:1,20.00%,"$3,347",42.90%,,,,,32.10%,0.14,55.60%,31.00%,,,0,,,11.00%,88.20%,27.30%,52.60%,12.50%,41.00%,27.30%,89.00%,12.50%,77.70%,100.00%,100.00%,0.80%,41.40%,46.70%,0%,,,,C
88,UniCredit SpA,Banks,Banks,Financials,Italy,"Milan, Italy","$30,830,958,637","$50,431",64.00%,"$225,131",40.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,9.70%,23.20%,96.80%,,,9.80%,85.00%,,,60:1,32.10%,$473,1.10%,"$152,578",87.60%,60.50%,15.40%,1.60%,,,,,,0,,,12.00%,54.40%,41.70%,86.70%,46.20%,94.40%,0.00%,0.00%,15.40%,80.90%,100.00%,100.00%,15.00%,90.10%,21.80%,0%,,,,C
89,Commerzbank AG,Banks,Banks,Financials,Germany,"Frankfurt am Main, Germany","$14,588,961,672","$27,153",32.30%,"$423,236",60.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,15.80%,58.80%,82.00%,,,5.00%,73.30%,,,36:1,57.10%,"$3,789",45.30%,"$256,975",96.90%,109.10%,65.00%,49.40%,,,,,,0,,,10.80%,62.50%,45.00%,92.70%,28.60%,73.80%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,3.90%,57.40%,,0%,,,,C
90,BNP Paribas SA,Banks,Banks,Financials,France,"Paris, France","$77,746,629,165","$25,222",27.30%,"$320,421",51.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,12.80%,38.60%,99.20%,,,8.30%,81.70%,,,55:1,39.30%,"$6,180",72.60%,"$57,282",56.70%,69.20%,17.50%,54.50%,,,,,,0.000005,98.40%,1.00%,12.00%,54.40%,53.30%,97.60%,33.30%,79.30%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,10.80%,83.40%,21.80%,0%,"$6,000,000",78.50%,1.00%,C
91,Assicurazioni Generali SpA,Insurance companies,Insurance,Financials,Italy,"Trieste, Italy","$131,689,000,000","$272,442",82.10%,"$1,273,258",47.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,25.10%,91.20%,96.20%,,,2.80%,66.70%,,,72:1,44.40%,$695,14.60%,"$75,690",56.80%,28.50%,7.70%,11.00%,,,,,,0,,,14.00%,52.50%,46.20%,94.10%,13.30%,41.20%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,24.10%,98.00%,,100%,,,,C
92,Teck Resources Ltd,Metal and coal mining,Metals & Mining,Materials,Canada,"Vancouver, Canada","$13,810,429,602",$481,65.50%,"$4,846",76.90%,$118,43.30%,92.50%,,,$18,12.20%,99.80%,,,"$194,513,093",58.50%,0.481481481,1.00%,"$8,420,994",59.60%,69.10%,1.00%,"$5,702,077",54.40%,83.00%,1.00%,"$23,741,090",95.00%,58.90%,0.00%,12.80%,36.10%,93.30%,49.30%,2.00%,18.60%,39.10%,27.80%,84.60%,79:1,16.70%,"$3,812",76.50%,"$114,606",75.00%,129.30%,97.00%,75.30%,0.22,40.00%,42.20%,,,0,,,9.50%,57.10%,28.60%,55.80%,15.00%,45.50%,35.70%,93.70%,5.00%,65.10%,100.00%,100.00%,8.90%,74.90%,7.80%,100%,"$192,024",92.60%,1.00%,C
93,Vitasoy International Holdings Ltd,Food and beverage manufacturing,Food Products,Consumer Staples,Hong Kong,"Tuen Mun, Hong Kong","$1,080,899,932","$1,007",18.00%,"$9,681",15.50%,$299,17.60%,61.70%,,,"$123,800",27.40%,51.60%,,,,,,,,,,,,,,,,,,,14.00%,44.20%,33.20%,,,46.40%,96.30%,3.50%,77.10%,70:1,19.10%,,,"$1,493",9.30%,93.40%,57.60%,0.00%,0.69,47.60%,74.30%,,,0,,,24.00%,24.20%,18.20%,32.10%,20.00%,59.90%,36.40%,94.80%,60.00%,98.60%,100.00%,100.00%,,,,0%,,,,C
94,Bank of China Ltd,Banks,Banks,Financials,China,"Beijing, China","$153,943,000,000","$15,907",8.20%,"$100,123",6.60%,"$11,373",3.00%,77.30%,0.875,0,"$143,737,869",70.80%,25.70%,,,,,,,,,,,,,,,,,,,13.10%,42.00%,99.90%,,,16.90%,93.30%,,,4:1,100.00%,"$5,213",67.40%,"$1,496",4.10%,,,50.50%,,,,,,0,,,,,15.40%,27.60%,25.00%,71.30%,15.40%,75.30%,0.00%,0.00%,0.00%,0.00%,,,17.50%,0%,,,,C
95,AstraZeneca PLC,Pharmaceutical and biotech manufacturing,Pharmaceuticals,Health Care,U.K.,"Cambridge, U.K.","$44,351,000,000","$13,754",91.30%,"$100,380",65.80%,"$11,827",89.10%,62.40%,,,"$2,755,747",82.70%,59.80%,,,"$349,220,472",72.30%,0.567901235,1.00%,,,,,,,,,,,,,15.10%,53.70%,96.70%,65.70%,1.00%,12.80%,66.70%,0.20%,57.90%,111:1,10.30%,"$6,539",68.40%,"$97,102",65.20%,86.70%,40.60%,52.80%,0.03,75.80%,8.80%,,,0,,,18.90%,31.40%,38.50%,82.30%,41.70%,91.40%,23.10%,85.20%,25.00%,90.30%,100.00%,100.00%,0.00%,0.00%,9.90%,0%,"$802,469",89.30%,1.00%,C-
96,IGM Financial Inc,Asset management,Capital Markets,Financials,Canada,"Winnipeg, Canada","$3,092,019,285","$35,507,801",100.00%,"$4,947,231",72.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00%,56.90%,72.60%,,,3.20%,91.70%,,,49:1,17.20%,"$3,930",28.60%,"$82,731",47.10%,120.50%,96.30%,32.30%,,,,,,0,,,16.00%,30.80%,33.30%,66.90%,35.30%,85.40%,0.00%,0.00%,5.90%,65.80%,100.00%,100.00%,0.00%,0.00%,4.50%,0%,,,,C-
97,Biomérieux SA,Medical equipment manufacturing,Health Care Equipment & Supplies,Health Care,France,"Marcy l'Étoile, France","$5,534,430,011","$7,693",65.00%,"$75,374",65.60%,"$8,675",65.30%,37.10%,,,"$1,291,677",68.10%,40.90%,,,,,,,,,,,,,,,,,,,17.70%,88.60%,75.50%,,,5.60%,91.70%,0.00%,57.10%,18:1,100.00%,$648,14.30%,"$6,783",30.00%,79.40%,69.20%,10.70%,0.94,7.70%,80.10%,,,0,,,13.80%,73.30%,44.40%,91.20%,22.20%,60.90%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,10.00%,81.90%,,0%,,,,C-
98,Manulife Financial Corp,Insurance companies,Insurance,Financials,Canada,"Toronto, Canada","$49,626,944,534","$5,068",6.00%,"$206,669",8.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,10.60%,47.20%,94.70%,,,5.60%,77.80%,,,155:1,11.10%,"$2,990",36.60%,"$88,460",63.60%,99.60%,63.50%,34.20%,,,,,,0,,,17.00%,27.10%,58.30%,99.20%,18.80%,53.30%,25.00%,87.70%,18.80%,83.80%,100.00%,100.00%,6.10%,67.30%,28.80%,0%,,,,C-
99,Sino Land Co Ltd,Real estate and leasing,Real Estate Management & Development,Real Estate,Hong Kong,"Tsim Sha Tsui, Hong Kong","$2,025,449,244","$1,925",37.40%,"$10,127",17.50%,"$1,139",45.50%,52.90%,,,,,,,,,,,,,,,,,,,,,,,,19.50%,99.10%,73.40%,,,50.00%,72.70%,12.00%,82.40%,50:1,40.00%,"$1,397",9.50%,"$1,484",10.00%,,,7.10%,2.01,3.70%,91.20%,,,0,,,41.30%,3.90%,8.30%,10.80%,0.00%,0.00%,16.70%,77.90%,0.00%,0.00%,100.00%,100.00%,,,16.40%,0%,,,,C-
100,Sysmex Corp,Instrumentation and other electronic manufacturing,Health Care Equipment & Supplies,Health Care,Japan,"Kobe, Japan","$4,311,348,734","$6,559",32.60%,"$154,501",67.90%,,,,,,"$5,335,828",84.30%,22.90%,,,,,,,,,,,,,,,,,,,19.90%,88.60%,70.30%,,,36.80%,92.90%,0.00%,0.00%,22:1,100.00%,"$6,140",100.00%,"$14,036",37.50%,114.80%,98.30%,84.00%,0.81,17.60%,77.70%,,,0,,,8.40%,91.70%,8.30%,10.80%,8.30%,31.20%,0.00%,0.00%,25.00%,90.30%,100.00%,0.00%,0.00%,0.00%,,0%,,,,C-
