Rank 2023,Name,CKPG,GICS Sector,GICS Industry,Country,HQ,USD Purchasing Power Parity Revenue,Energy Productivity,Energy Productivity Score,Carbon Productivity,Carbon Productivity Score,Water Productivity,Water Productivity Score,Waste Productivity,Waste Productivity Score,VOC Productivity,VOC Productivity Score,NOx Productivity,NOx Productivity Score,SOx Productivity,SOx Productivity Score,PM Productivity,PM Productivity Score,Cash Taxes Paid Ratio,Cash Taxes Paid Score,Sustainable Revenue Ratio,Sustainable Revenue Score,Sustainable Investment Ratio,Sustainable Investment Score,CEO-Average Worker Pay Ratio,CEO-Average Worker Pay Score,Retirement Contributions / FTE,Fair Value of Plan Assets / FTE,Fair Value / Projected Benefit Obligation,Pension Fund Quality,Injury Rate Ratio,Injury Rate Score,Fatalities Per Employee Ratio,Fatalities Per Employee Score,Employee Turnover Ratio,Employee Turnover Score,Non-male Boards Ratio,Non-male Boards Score,Non-male Executives Ratio,Non-male Executives Score,Racially Diverse Among Boards Ratio,Racially Diverse Among Boards Score,Racially Diverse Among Executives Ratio,Racially Diverse Among Executives Score,Paid Sick Leave Score,Sustainability Paylink,Sustainability Pay Link Ratio,Sustainability Pay Link Score,Supplier Score,Political Influence #1,Political Influence #2,Political Influence #3,Fines Deduction,Overall Score
10,Dassault Systemes SE,IT services except telecom and hosting,Information Technology,Software,France,"Velizy-Villacoublay, France","$7,064,098,837.20","$90,678.30",84.10%,"$498,736",60.10%,,,,,,,,,,,,,15%,60%,68%,96%,40%,98.80%,29,84.10%,"$3,063.60","$3,177.00",20.20%,41.90%,,,,,,,50%,95.70%,45.50%,94.40%,20.00%,80.80%,9.10%,65.40%,1,1,15.50%,75.60%,22.70%,,,,,A-
12,Xinyi Solar Holdings Ltd,Glass and ceramics,Information Technology,Semiconductors & Semiconductor Equipment,China,"Wuhu, China ","$2,738,604,671.00",$78.80,22.50%,$843,7.90%,,,,,No VOC Emissions,75.00%,,,,,"$20,591,012.60",87.50%,10%,35%,100%,100%,100%,100.00%,405,29.40%,"$1,254.40",,,27.60%,0.7,80.00%,0.00028,7.70%,,,11%,5.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,1,,,,Yes,,Yes,,A-
13,Orsted A/S,Power Generation,Utilities,Electric Utilities,Denmark,"Fredericia, Denmark","$11,636,404,494.40","$17,858.20",84.20%,"$5,301",66.70%,"$5,797.90",71.90%,,,,,"$5,690,173.30",71.40%,"$18,618,247.20",63.10%,,,12%,68%,66%,55%,99%,81.80%,35,45.70%,"$7,823.70",,,47.60%,,,0,100.00%,,,50%,95.80%,16.70%,36.20%,8.30%,56.20%,0.00%,0.00%,1,1,30.80%,97.60%,79.80%,Yes,Yes,Yes,,A-
14,Sims Ltd,Smelters and steel making,Materials,Metals & Mining,Australia,"Mascot, Australia","$6,200,267,379.70","$4,376.80",97.70%,"$45,238",97.00%,"$10,799.00",88.30%,"$4,852.40",18.80%,,,,,No SOx Emissions,75.00%,,,20%,64%,100%,71%,100%,100.00%,40,45.70%,"$1,296.80","$11,284.90",107.30%,39.90%,0.2,87.50%,0,100.00%,,,50%,95.70%,30.00%,72.60%,12.50%,69.50%,0.00%,0.00%,1,1,,,,Yes,Yes,Yes,,A-
15,Banco do Brasil SA,Banks,Financials,Banks,Brazil,"Brasilia, Brazil","$52,591,137,549.40","$28,257.00",23.60%,"$623,504",57.50%,,,,,,,,,,,,,19%,68%,24%,98%,,,8,83.90%,"$8,471.60","$901,137.50",126.60%,88.20%,,,,,8.00%,77.60%,38%,68.30%,14.30%,29.90%,25.00%,86.00%,11.40%,69.00%,1,1,16.70%,79.50%,39.70%,Yes,Yes,Yes,,A-
16,Rockwool A/S,Glass and ceramics,Industrials,Building Products,Denmark,"Hedehusene, Denmark","$4,488,372,093.00",$246.90,48.80%,"$2,350",47.20%,,,,,No VOC Emissions,75.00%,,,,,No PM Emissions,75.00%,14%,57%,85%,80%,70%,75.00%,46,58.80%,"$3,522.00","$25,989.80",89.50%,71.10%,3.6,20.00%,0,100.00%,,,50%,95.70%,44.40%,93.60%,0.00%,0.00%,0.00%,0.00%,1,1,0.00%,0.00%,,Yes,No,Yes,,A-
17,Johnson Controls International PLC,HVAC equipment manufacturing,Industrials,Building Products,Ireland,"Cork, Ireland","$23,668,000,000.00","$3,763.10",39.60%,"$35,632",48.80%,,,,,,,,,,,,,11%,8%,54%,92%,61%,100.00%,266,72.70%,"$18,415.80","$49,257.40",92.50%,84.40%,,,,,,,27%,31.10%,26.70%,62.80%,9.10%,58.40%,33.30%,94.20%,1,1,7.70%,54.30%,23.20%,Yes,Yes,Yes,1.00%,A-
18,Chr Hansen Holding A/S,Food and beverage manufacturing,Materials,Chemicals,Denmark,"Hoersholm, Denmark","$1,472,143,895.30","$3,135.00",83.40%,"$43,041",87.70%,"$1,194.90",63.80%,,,,,,,,,,,13%,20%,20%,92%,97%,97.30%,37,69.00%,$128.30,"$2,480.90",44.60%,4.10%,0.2,93.80%,,,14.00%,56.10%,50%,95.70%,37.50%,84.40%,0.00%,0.00%,0.00%,0.00%,1,1,7.90%,55.10%,72.30%,Yes,Yes,Yes,,B+
19,Kone Oyj,Machinery Manufacturing,Industrials,Machinery,Finland,"Espoo, Finland","$15,282,122,093.00","$62,061.90",96.30%,"$734,717",97.90%,,,,,"$3,457,493,686.20",81.30%,,,,,,,21%,68%,67%,89%,7%,79.40%,73,47.80%,"$6,523.50","$12,750.50",76.20%,68.70%,0.3,80.50%,0.00002,16.00%,12.00%,45.80%,38%,68.30%,14.30%,29.90%,25.00%,86.00%,7.10%,61.70%,1,1,,,,Yes,Yes,Yes,,B+
20,Cascades Inc,Packaging,Materials,Containers & Packaging,Canada,"Kingsey Falls, Canada","$3,180,064,308.70",$177.20,24.40%,"$4,198",42.40%,,,"$33,212.50",51.30%,,,,,,,,,3%,9%,92%,100%,80%,100.00%,59,54.50%,"$1,142.10","$39,320.10",101.50%,37.10%,,,,,,,50%,95.70%,8.30%,13.50%,0.00%,0.00%,0.00%,0.00%,1,1,25.00%,93.70%,49.50%,Yes,No,Yes,2.50%,B+
