Rank 2023,Name,CKPG,GICS Sector,GICS Industry,Country,HQ,USD Purchasing Power Parity Revenue,Energy Productivity,Energy Productivity Score,Carbon Productivity,Carbon Productivity Score,Water Productivity,Water Productivity Score,Waste Productivity,Waste Productivity Score,VOC Productivity,VOC Productivity Score,NOx Productivity,NOx Productivity Score,SOx Productivity,SOx Productivity Score,PM Productivity,PM Productivity Score,Cash Taxes Paid Ratio,Cash Taxes Paid Score,Sustainable Revenue Ratio,Sustainable Revenue Score,Sustainable Investment Ratio,Sustainable Investment Score,CEO-Average Worker Pay Ratio,CEO-Average Worker Pay Score,Retirement Contributions / FTE,Fair Value of Plan Assets / FTE,Fair Value / Projected Benefit Obligation,Pension Fund Quality,Injury Rate Ratio,Injury Rate Score,Fatalities Per Employee Ratio,Fatalities Per Employee Score,Employee Turnover Ratio,Employee Turnover Score,Non-male Boards Ratio,Non-male Boards Score,Non-male Executives Ratio,Non-male Executives Score,Racially Diverse Among Boards Ratio,Racially Diverse Among Boards Score,Racially Diverse Among Executives Ratio,Racially Diverse Among Executives Score,Paid Sick Leave Score,Sustainability Paylink,Sustainability Pay Link Ratio,Sustainability Pay Link Score,Supplier Score,Political Influence #1,Political Influence #2,Political Influence #3,Fines Deduction,Overall Score
47,Puma SE,Textiles and clothing manufacturing,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Germany,"Herzogenaurach, Germany","$9,891,569,767.40","$132,099.00",90.50%,"$270,328",72.30%,,,,,,,,,,,,,17%,45%,29%,75%,0%,37.50%,241,44.40%,"$6,716.20","$8,879.90",74.20%,75.00%,0.4,100.00%,,,34.00%,22.20%,33%,56.50%,25.00%,62.00%,16.70%,75.50%,0.00%,0.00%,1,1,5.00%,44.10%,,Yes,Yes,Yes,,B-
48,Cisco Systems Inc,Telephones and telecom equip manufacturing,Information Technology,Communications Equipment,USA,"San Jose, USA","$49,818,000,000.00","$41,681.70",80.20%,"$82,189",33.70%,,,,,,,,,,,,,22%,78%,58%,82%,0%,57.10%,214,34.80%,"$3,077.50",,,58.00%,,,,,,,36%,63.80%,40.00%,88.80%,18.20%,78.10%,20.00%,82.80%,1,0,,,,,,,,B-
49,Atea ASA,Telephones and telecom equip manufacturing,Information Technology,IT Services,Norway,"Oslo, Norway","$4,060,141,509.40","$81,334.50",91.20%,"$652,546",90.90%,,,,,,,,,,,,,11%,42%,67%,91%,3%,78.60%,19,48.50%,,"$5,274.10",,0.00%,,,,,,,38%,69.00%,12.50%,25.50%,0.00%,0.00%,0.00%,0.00%,1,1,0.00%,0.00%,63.70%,Yes,Yes,Yes,1.00%,B-
50,Konica Minolta Inc,Machinery Manufacturing,Information Technology,"Technology Hardware, Storage & Peripherals",Japan,"Chiyoda-ku, Japan","$9,276,600,508.90","$1,805.90",16.30%,"$28,739",15.40%,,,,,"$52,410,172.40",29.30%,,,,,,,10%,16%,52%,86%,1%,70.60%,,0.00%,"$1,089.10","$40,160.60",103.00%,38.00%,0,97.60%,0,100.00%,3.30%,97.90%,11%,5.50%,6.70%,11.90%,0.00%,0.00%,0.00%,0.00%,1,1,25.00%,93.70%,,Yes,Yes,Yes,,B-
51,Giant Manufacturing Co Ltd,Non-road transport equipment manufacturing,Consumer Discretionary,Leisure Products,Taiwan,"Taichung, Taiwan ","$5,377,480,123.50",,,,,,,,,,,,,,,,,18%,55%,100%,100%,100%,100.00%,122,88.40%,"$2,435.10","$3,096.30",75.10%,37.50%,,,,,,,9%,3.80%,28.60%,69.20%,0.00%,0.00%,0.00%,0.00%,0,0,,,,,,,,B-
52,Essity AB (publ),Packaging,Consumer Staples,Household Products,Sweden,"Stockholm, Sweden","$14,020,593,649.30",$360.70,53.70%,"$5,115",48.00%,$147.60,51.80%,"$27,171.70",25.00%,,,,,,,,,14%,54%,48%,80%,39%,81.80%,48,63.60%,"$3,734.30","$87,635.60",107.80%,76.40%,,,,,,,42%,77.00%,30.80%,73.20%,0.00%,0.00%,7.70%,62.70%,1,1,12.50%,68.50%,46.80%,Yes,Yes,Yes,5.00%,B-
53,Eisai Co Ltd,Pharmaceutical and biotech manufacturing,Health Care,Pharmaceuticals,Japan,"Bunkyo-ku, Japan","$7,696,956,743.00","$3,424.80",40.20%,"$103,312",67.50%,,,,,,,,,,,,,14%,37%,33%,95%,24%,98.60%,8,65.10%,"$2,832.60","$88,607.70",107.20%,40.20%,,,,,4.00%,98.20%,9%,3.20%,15.20%,30.60%,9.10%,58.40%,15.20%,75.50%,1,0,,,55.40%,Yes,No,No,,B-
54,ERG SpA,Power Generation,Utilities,Independent Power and Renewable Electricity Producers,Italy,"Genoa, Italy","$1,790,697,674.40",$110.30,36.10%,"$1,941",54.70%,$8.50,33.20%,,,,,"$5,721,078.80",82.10%,No SOx emissions,75.00%,,,6%,41%,64%,51%,96%,76.10%,24,54.30%,"$21,645.80","$7,715.40",,72.60%,,,0,100.00%,,,42%,77.50%,12.50%,25.50%,0.00%,0.00%,0.00%,0.00%,1,1,17.70%,81.70%,72.50%,Yes,Yes,Yes,,B-
55,Sprouts Farmers Market Inc,Grocery stores,Consumer Staples,Food & Staples Retailing,USA,"Phoenix, USA","$6,099,869,000.00","$3,499.30",21.20%,,0.00%,"$5,129.30",16.70%,"$115,685.60",15.40%,,,,,,,,,14%,35%,28%,100%,14%,100.00%,,0.00%,$242.50,,,7.10%,1.3,100.00%,,,,,25%,27.80%,18.20%,41.00%,12.50%,69.50%,0.00%,0.00%,1,1,,,,,,,,B-
56,CapitaLand Investment Ltd,Real estate and leasing,Real Estate,Real Estate Management & Development,Singapore,"Singapore, Singapore","$6,604,161,566.70","$1,297.90",33.90%,"$10,348",19.50%,$549.50,26.30%,,,,,,,,,,,13%,53%,38%,95%,41%,98.00%,93,34.00%,"$7,294.50",,,62.90%,,,,,,,27%,31.40%,28.60%,68.40%,0.00%,0.00%,21.40%,83.30%,1,1,26.60%,95.20%,56.10%,Yes,Yes,Yes,2.50%,B-
57,Sino Land Co Ltd,Real estate and leasing,Real Estate,Real Estate Management & Development,Hong Kong,"Hong Kong, Hong Kong ","$2,651,581,072.30","$2,655.60",69.00%,"$13,753",40.70%,"$1,790.90",67.40%,,,,,,,,,,,13%,55%,49%,98%,1%,69.40%,,0.00%,"$1,096.50",,,18.20%,,,,,,,0%,0.00%,29.50%,70.50%,20.00%,80.80%,18.20%,80.40%,1,1,,,,Yes,Yes,Yes,,B-
58,Severn Trent PLC,Water and sewage treatment,Utilities,Water Utilities,United Kingdom,"Coventry, United Kingdom ","$2,849,413,489.70","$2,536.90",80.00%,"$5,357",51.30%,$3.90,52.20%,,,,,,,,,,,1%,10%,39%,57%,72%,51.70%,77,61.50%,"$5,704.10","$545,206.20",96.70%,69.50%,,,,,,,56%,98.20%,44.40%,93.30%,11.10%,66.20%,0.00%,0.00%,1,1,13.10%,69.00%,19.00%,Yes,No,Yes,,B-
59,Intesa Sanpaolo SpA,Banks,Financials,Banks,Italy,"Torino, Italy","$30,212,209,302.30","$26,097.20",24.40%,"$375,162",47.30%,,,,,,,,,,,,,25%,84%,12%,94%,,,87,10.40%,"$6,329.30","$26,609.90",83.40%,62.70%,,,,,7.80%,78.90%,37%,64.20%,5.60%,10.80%,0.00%,0.00%,0.00%,0.00%,1,1,15.90%,77.20%,39.70%,Yes,Yes,Yes,,B-
60,Gildan Activewear Inc,Textiles and clothing manufacturing,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Canada,"Montreal, Canada","$2,922,570,000.00",$693.60,19.00%,"$7,843",13.80%,,,,,,,,,,,,,2%,2%,39%,100%,1%,62.50%,961,33.30%,$111.20,,,5.40%,0.5,62.50%,,,26.00%,55.60%,30%,40.00%,0.00%,0.00%,10.00%,62.30%,20.00%,82.80%,1,1,0.00%,0.00%,17.40%,Yes,Yes,Yes,,B-
61,Sanofi SA,Pharmaceutical and biotech manufacturing,Health Care,Pharmaceuticals,France,"Paris, France","$56,940,406,976.70","$5,018.90",51.80%,"$86,211",58.70%,,,,,,,,,,,,,20%,57%,20%,88%,13%,94.10%,37,58.70%,"$38,666.50","$146,975.30",79.30%,77.80%,,,,,10.00%,87.20%,38%,68.30%,18.20%,41.00%,6.30%,51.40%,0.00%,0.00%,1,1,14.60%,71.70%,23.50%,Yes,No,Yes,5.00%,B-
62,Swatch Group AG,Instrumentation and other electronic manufacturing,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Switzerland,"Biel, Switzerland","$6,721,507,352.90","$5,686.60",16.90%,"$66,638",17.50%,,,,,,,,,,,,,18%,61%,50%,100%,49%,100.00%,94,60.00%,"$3,916.90","$123,474.60",102.10%,79.70%,,,,,18.00%,14.30%,33%,57.30%,11.10%,20.60%,0.00%,0.00%,0.00%,0.00%,1,1,,,,,,,,B-
63,Samsung SDI Co Ltd,Semiconductor and electronic components manufacturing,Information Technology,"Electronic Equipment, Instruments & Components",South Korea,"Yongin, South Korea","$16,399,734,762.10",$609.60,10.00%,"$10,422",36.00%,"$1,881.80",52.00%,,,,,,,,,,,9%,31%,81%,60%,57%,68.40%,43,48.10%,"$3,711.10","$34,308.60",98.70%,81.60%,,,,,13.80%,47.90%,14%,9.50%,3.20%,9.70%,0.00%,0.00%,0.00%,0.00%,1,1,,,49.50%,Yes,Yes,Yes,2.50%,C+
64,Yadea Group Holdings Ltd,Non-road transport equipment manufacturing,Consumer Discretionary,Automobiles,China,"Wuxi, China ","$6,462,384,855.00","$42,603.50",75.00%,"$282,774",75.00%,,,,,,,,,,,,,16%,43%,100%,93%,100%,100.00%,16,97.70%,"$1,871.10",,,27.70%,,,,,,,13%,7.20%,11.10%,20.60%,0.00%,0.00%,0.00%,0.00%,0,0,,,,,,,,C+
65,Telefonaktiebolaget LM Ericsson,Telephones and telecom equip manufacturing,Information Technology,Communications Equipment,Sweden,"Stockholm, Sweden","$26,727,335,480.90","$30,934.40",81.20%,"$151,002",81.00%,,,,,,,,,,,,,29%,89%,34%,73%,100%,100.00%,94,30.30%,"$6,359.80","$92,376.30",71.70%,79.60%,,,,,,,23%,23.10%,20.00%,47.60%,0.00%,0.00%,13.30%,72.60%,1,0,,,55.00%,Yes,Yes,Yes,5.00%,C+
66,Adidas AG,Textiles and clothing manufacturing,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Germany,"Herzogenaurach, Germany","$30,863,372,093.00","$27,044.20",41.70%,"$257,999",49.80%,,,,,,,,,,,,,20%,66%,35%,88%,0%,50.00%,225,48.10%,"$1,728.10","$11,883.40",65.40%,66.10%,0.4,87.50%,,,,,38%,68.30%,16.70%,36.60%,12.50%,69.50%,16.70%,78.50%,0,1,,,,Yes,Yes,Yes,5.00%,C+
67,Hewlett Packard Enterprise Co,Computers and peripherals manufacturing,Information Technology,"Technology Hardware, Storage & Peripherals",USA,"Spring, USA","$27,784,000,000.00","$22,267.70",56.90%,"$170,695",58.30%,"$23,597.10",53.30%,"$58,123,091.10",84.40%,"$15,182,513,661.20",87.50%,"$479,117,089.20",57.50%,"$1,475,517,790.80",19.20%,,,10%,15%,50%,75%,20%,71.40%,,,"$2,884.70","$261,560.10",102.50%,74.90%,0.1,75.00%,,,6.90%,100.00%,36%,64.60%,11.80%,22.10%,18.20%,78.30%,17.60%,79.20%,1,1,,,38.70%,Yes,Yes,Yes,2.50%,C+
68,KB Financial Group Inc,Banks,Financials,Banks,South Korea,"Seoul, South Korea ","$17,526,027,675.70","$19,225.20",19.50%,"$132,305",16.00%,,,,,,,,,,,,,26%,86%,5%,88%,,,10,74.40%,"$13,844.80","$106,004.80",95.10%,71.50%,,,,,7.00%,76.90%,22%,22.10%,16.10%,32.80%,0.00%,0.00%,0.00%,0.00%,1,1,,,,Yes,Yes,Yes,1.00%,C+
69,Maxeon Solar Technologies Ltd,Semiconductor and electronic components manufacturing,Information Technology,Semiconductors & Semiconductor Equipment,Singapore,"Singapore, Singapore","$783,279,000.00",$923.80,19.40%,"$5,227",15.60%,$224.70,7.50%,,,,,,,,,,,8%,26%,100%,100%,100%,100.00%,,0.00%,,,,0.00%,,,,,,,11%,5.50%,28.60%,68.80%,0.00%,0.00%,0.00%,0.00%,0,0,,,,,,,,C+
70,Orkla ASA,Food and beverage manufacturing,Consumer Staples,Food Products,Norway,"Oslo, Norway","$4,956,859,276.70","$2,357.70",58.90%,"$42,247",80.90%,$643.70,40.70%,,,,,,,,,,,18%,43%,22%,95%,0%,75.70%,29,60.40%,"$2,431.20","$2,825.70",20.40%,48.50%,0.8,69.00%,,,14.80%,52.20%,36%,64.60%,22.20%,52.00%,0.00%,0.00%,0.00%,0.00%,1,1,,,37.00%,Yes,No,No,,C+
71,BNP Paribas SA,Banks,Financials,Banks,France,"Paris, France","$67,202,034,883.70","$21,747.40",18.20%,"$267,081",39.60%,,,,,,,,,,,,,20%,72%,21%,96%,,,45,26.20%,"$6,380.30","$46,584.50",67.10%,62.90%,,,,,11.00%,65.10%,47%,88.60%,31.60%,74.20%,0.00%,0.00%,0.00%,0.00%,1,1,7.30%,51.20%,39.70%,Yes,Yes,No,5.00%,C+
72,Svenska Handelsbanken AB,Banks,Financials,Banks,Sweden,"Stockholm, Sweden ","$4,986,999,539.80","$26,484.60",26.20%,"$1,448,025",86.80%,,,,,,,,,,,,,27%,87%,2%,76%,,,17,59.50%,"$17,547.70","$398,959.20",125.20%,91.90%,,,,,7.80%,78.90%,54%,97.00%,35.30%,81.70%,0.00%,0.00%,0.00%,0.00%,1,0,,,,Yes,Yes,Yes,,C+
73,Apple Inc,Telephones and telecom equip manufacturing,Information Technology,"Technology Hardware, Storage & Peripherals",USA,"Cupertino, USA","$365,817,000,000.00","$203,736.90",93.30%,"$6,309,148",93.80%,,,,,,,,,,,,,17%,61%,71%,100%,0%,35.70%,,,,,,,,,,,,,33%,57.30%,27.80%,66.60%,33.30%,93.20%,16.70%,78.70%,1,1,,,,Yes,,,5.00%,C+
74,Kesko Oyj,Grocery stores,Consumer Staples,Food & Staples Retailing,Finland,"Helsinki, Finland","$16,424,709,302.30","$11,156.00",71.90%,"$174,412",86.50%,"$13,778.20",71.40%,"$18,857,301.20",100.00%,,,,,,,,,8%,13%,3%,82%,11%,92.90%,100,58.60%,"$7,442.00","$314,802.80",1336.10%,100.00%,2.4,77.80%,,,22.00%,69.20%,29%,33.30%,33.30%,80.50%,0.00%,0.00%,0.00%,0.00%,1,1,,,23.00%,Yes,No,Yes,1.00%,C+
75,Quadient SA,Machinery Manufacturing,Information Technology,"Technology Hardware, Storage & Peripherals",France,"Bagneux, France","$1,488,808,139.50","$26,927.80",91.10%,"$156,273",85.50%,"$54,509.10",89.60%,"$10,369,044.40",87.00%,"$153,643,770.80",64.60%,,,,,,,11%,19%,23%,68%,0%,63.20%,23,69.10%,,,,,0.3,84.40%,0,100.00%,15.00%,29.10%,33%,57.30%,14.30%,29.80%,0.00%,0.00%,14.30%,75.30%,1,1,3.00%,38.10%,63.70%,Yes,Yes,Yes,,C+
76,Investec Ltd,Banks,Financials,Capital Markets,South Africa,"Sandton, South Africa ","$3,118,054,252.20","$3,642,586.70",95.80%,"$125,606",13.40%,,,,,,,,,,,,,9%,31%,5%,89%,,,38,30.60%,"$8,685.00",,,67.80%,,,,,12.00%,57.90%,36%,58.90%,20.00%,48.20%,42.90%,96.90%,25.00%,88.40%,1,1,5.00%,44.10%,18.00%,Yes,Yes,Yes,,C+
77,Sun Life Financial Inc,Insurance companies,Financials,Insurance,Canada,"Toronto, Canada ","$28,688,102,893.90","$29,840.90",9.80%,"$622,072",19.60%,,,,,,,,,,,,,15%,55%,4%,92%,,,107,44.70%,"$3,938.80","$60,800.50",95.00%,43.70%,,,,,15.00%,33.30%,56%,98.20%,41.70%,89.80%,33.30%,93.00%,16.70%,78.50%,1,1,,,61.20%,No,No,No,,C+
78,Teck Resources Ltd,Metal and coal mining,Materials,Metals & Mining,Canada,"Vancouver, Canada ","$10,836,816,720.30",$372.90,58.40%,"$3,689",54.70%,$92.40,36.50%,$13.80,17.40%,,,"$5,277,756.20",47.90%,"$3,502,526.40",35.20%,,,14%,40%,7%,97%,23%,96.80%,86,37.50%,"$3,705.70","$203,672.70",118.70%,69.30%,0.3,77.80%,0.00009,29.80%,,,29%,33.30%,11.80%,22.00%,28.60%,88.50%,5.90%,59.10%,1,1,15.90%,76.40%,62.60%,Yes,Yes,Yes,2.50%,C+
79,NIO Inc,"Cars and trucks manufacturing, including parts",Consumer Discretionary,Automobiles,China,"Shanghai, China ","$8,659,578,960.00","$17,727.50",69.70%,"$160,817",70.40%,,,,,No VOC Emissions,75.00%,,,,,,,1%,0%,96%,64%,100%,93.80%,,,"$12,001.00",,,72.90%,,,,,,,17%,12.70%,0.00%,0.00%,16.70%,75.70%,16.70%,78.70%,0,0,,,,,,,,C+
80,Ricoh Co Ltd,Computers and peripherals manufacturing,Information Technology,"Technology Hardware, Storage & Peripherals",Japan,"Ota-ku, Japan","$17,899,104,325.70","$5,981.60",27.10%,"$70,664",30.90%,,,,,,,,,,,,,26%,78%,21%,63%,42%,100.00%,14,38.50%,"$4,126.20","$53,110.30",90.60%,80.70%,,,,,13.00%,75.00%,10%,4.20%,18.80%,41.90%,0.00%,0.00%,12.50%,72.00%,1,1,2.00%,33.30%,14.20%,Yes,Yes,Yes,1.00%,C+
81,Henkel AG & Co KgaA,Personal products (retail chemical),Consumer Staples,Household Products,Germany,"Dusseldorf, Germany","$29,165,697,674.40","$4,294.50",65.00%,"$61,401",71.20%,,,,,"$62,054,675.90",59.10%,,,,,,,18%,53%,20%,71%,1%,61.10%,115,56.70%,,"$156,960.10",99.00%,14.90%,,,,,7.00%,81.80%,44%,81.50%,16.70%,36.60%,12.50%,69.50%,33.30%,94.20%,1,1,,,30.30%,Yes,No,No,,C+
82,Storebrand ASA,Insurance companies,Financials,Insurance,Norway,"Lysaker, Norway","$11,770,931,603.80","$26,032,669.00",97.80%,"$89,785,901",94.60%,,,,,,,,,,,,,3%,9%,5%,96%,,,7,91.50%,$359.40,"$53,140.00",87.30%,3.80%,,,,,6.00%,90.60%,50%,95.80%,30.00%,72.30%,0.00%,0.00%,0.00%,0.00%,1,1,26.30%,94.40%,18.00%,Yes,Yes,Yes,,C+
83,Gilead Sciences Inc,Pharmaceutical and biotech manufacturing,Health Care,Biotechnology,USA,"Foster City, USA","$27,305,000,000.00",,,,,,,,,,,,,,,,,28%,70%,44%,98%,0%,78.30%,,,"$11,527.80",,,72.90%,,,,,,0.00%,33%,57.30%,55.60%,98.20%,33.30%,93.20%,33.30%,94.20%,0,1,,,,,,,5.00%,C+
84,Sekisui Chemical Co Ltd,Residential construction,Consumer Discretionary,Household Durables,Japan,"Osaka, Japan","$11,785,750,636.10","$1,207.20",8.10%,"$16,577",7.40%,,,"$880,124.80",56.70%,,,,,,,,,17%,19%,10%,100%,41%,94.70%,32,15.50%,"$4,697.10","$61,536.40",88.80%,51.60%,0.1,54.50%,0,100.00%,,,24%,23.30%,6.70%,11.50%,0.00%,0.00%,0.00%,0.00%,1,1,,,14.20%,Yes,Yes,Yes,,C+
85,Commerzbank AG,Banks,Financials,Banks,Germany,"Frankfurt, Germany","$12,295,058,139.50","$21,461.30",23.00%,"$353,063",53.30%,,,,,,,,,,,,,30%,90%,6%,93%,,,47,25.40%,"$8,283.70","$292,788.50",88.80%,72.00%,,,,,5.00%,86.40%,45%,84.90%,28.60%,68.40%,0.00%,0.00%,0.00%,0.00%,1,1,,,50.70%,Yes,No,Yes,5.00%,C+
86,Tesla Inc,"Cars and trucks manufacturing, including parts",Consumer Discretionary,Automobiles,USA,"Austin, USA","$53,823,000,000.00",$591.60,6.50%,"$91,536",61.20%,,,,,No VOC Emissions,75.00%,,,,,,,5%,5%,100%,91%,100%,93.80%,,,,,,,,,,,,,25%,28.20%,0.00%,0.00%,25.00%,86.30%,0.00%,0.00%,0,0,,,,,,,5.00%,C
87,Beazley PLC,Insurance companies,Financials,Insurance,United Kingdom,"London, United Kingdom","$3,291,800,000.00","$325,217.50",78.80%,"$3,601,492",81.60%,,,,,,,,,,,,,10%,35%,14%,98%,,,10,89.40%,$0.30,,,1.30%,,,,,13.60%,44.40%,45%,87.20%,37.50%,84.40%,18.20%,78.10%,6.30%,59.90%,1,0,,,,No,No,No,,C
88,Bank of Montreal,Banks,Financials,Banks,Canada,"Toronto, Canada","$21,853,697,749.20","$35,388.90",48.30%,"$224,613",36.00%,,,,,,,,,,,,,20%,71%,4%,86%,,,78,12.60%,"$5,461.30","$192,887.20",108.30%,69.60%,,,,,19.00%,20.60%,50%,95.80%,25.00%,61.30%,8.30%,56.20%,25.00%,88.50%,1,1,,,,,Yes,Yes,,C
89,Arcelik AS,Appliances and lighting fixtures manufacturing,Consumer Discretionary,Household Durables,Turkey,"Istanbul, Turkey","$29,555,456,003.50","$19,522.70",100.00%,"$226,657",87.50%,"$21,051.40",85.60%,"$5,498,689.50",100.00%,"$24,629,546,669.60",87.50%,"$76,272,144.50",100.00%,"$16,419,697,779.70",100.00%,,,5%,10%,5%,100%,3%,50.00%,,,"$2,837.00",,,65.60%,1.6,33.30%,0,100.00%,13.00%,77.80%,17%,12.70%,9.10%,15.40%,0.00%,0.00%,17.00%,78.80%,0,1,,,6.20%,Yes,Yes,Yes,,C
90,Canadian Tire Corporation Ltd,"Retail, except grocery and auto",Consumer Discretionary,Multiline Retail,Canada,"Toronto, Canada ","$13,096,543,408.40","$8,231.50",41.80%,"$169,655",61.40%,,,,,,,,,,,,,14%,30%,2%,85%,1%,88.60%,116,43.10%,,,,0.00%,,,,,15.00%,84.80%,19%,14.20%,25.00%,62.00%,12.50%,69.50%,12.50%,71.90%,1,0,,,,,,,,C
91,National Australia Bank Ltd,Banks,Financials,Banks,Australia,"Melbourne, Australia","$11,182,486,631.00","$27,820.10",31.70%,"$130,528",12.90%,,,,,,,,,,,,,10%,33%,5%,89%,,,38,30.10%,"$6,165.70",,,62.10%,,,,,14.00%,48.00%,33%,56.50%,33.30%,80.50%,11.10%,66.20%,0.00%,0.00%,1,1,,,,Yes,Yes,Yes,,C
92,IGM Financial Inc,Asset management,Financials,Capital Markets,Canada,"Winnipeg, Canada ","$2,613,848,874.60","$5,860,122.10",96.30%,"$68,785,497",96.70%,,,,,,,,,,,,,17%,51%,7%,100%,,,36,42.40%,"$2,747.10","$114,493.20",96.30%,19.70%,,,,,,,33%,56.50%,31.30%,73.80%,0.00%,0.00%,6.30%,59.90%,1,1,,,29.20%,,,,,C
93,Pfizer Inc,Pharmaceutical and biotech manufacturing,Health Care,Pharmaceuticals,USA,"New York City, USA","$81,288,000,000.00","$5,442.30",63.40%,"$69,800",58.00%,,,,,,,,,,,,,18%,50%,17%,83%,0%,81.20%,,,"$7,519.00","$342,721.50",94.00%,75.40%,,,,,12.50%,49.10%,33%,57.30%,30.80%,73.20%,16.70%,75.90%,30.80%,91.90%,1,0,,,,Yes,Yes,Yes,5.00%,C
94,Nordea Bank Abp,Banks,Financials,Banks,Finland,"Helsinki, Finland","$16,828,488,372.10","$134,034.30",71.80%,"$3,537,626",88.30%,,,,,,,,,,,,,10%,34%,3%,82%,,,28,39.00%,"$15,078.60","$197,426.70",96.10%,76.80%,,,,,8.80%,65.80%,40%,74.80%,33.30%,80.20%,0.00%,0.00%,0.00%,0.00%,1,1,,,51.30%,Yes,Yes,Yes,2.50%,C
95,Merck KGaA,Pharmaceutical and biotech manufacturing,Health Care,Pharmaceuticals,Germany,"Darmstadt, Germany","$28,614,825,581.40",,,,,,,,,,,,,,,,,14%,38%,32%,94%,20%,95.70%,99,23.80%,"$1,638.20","$72,248.00",50.00%,14.20%,,,,,,0.00%,43%,80.30%,23.10%,54.30%,21.40%,81.70%,38.50%,95.50%,0,0,,,,,,,,C-
96,Societe Generale SA,Banks,Financials,Banks,France,"Paris, France","$37,497,093,023.30","$28,910.90",36.00%,"$276,944",40.50%,,,,,,,,,,,,,20%,71%,3%,81%,,,51,22.30%,"$9,956.80","$33,521.40",90.80%,69.70%,,,,,9.00%,65.30%,40%,74.80%,26.20%,61.90%,0.00%,0.00%,1.60%,57.20%,1,1,,,,Yes,Yes,Yes,5.00%,C-
97,AstraZeneca PLC,Pharmaceutical and biotech manufacturing,Health Care,Pharmaceuticals,United Kingdom,"Cambridge, United Kingdom","$37,417,000,000.00","$10,487.10",83.00%,"$140,130",84.30%,,,,,,,,,,,,,15%,41%,8%,80%,0%,73.90%,154,17.50%,"$2,093.90","$127,123.90",81.10%,23.80%,,,,,13.90%,36.40%,38%,70.40%,41.70%,89.70%,23.10%,84.00%,25.00%,88.50%,1,1,0.00%,0.00%,,Yes,No,,,C-
98,Koninklijke Philips NV,Instrumentation and other electronic manufacturing,Health Care,Health Care Equipment & Supplies,Netherlands,"Eindhoven, Netherlands","$24,936,046,511.60","$50,477.80",90.70%,"$122,236",53.80%,,,,,,,,,,,,,9%,20%,16%,91%,0%,78.60%,190,57.80%,$613.50,"$25,653.40",70.10%,5.90%,,,,,17.60%,17.90%,40%,74.80%,15.40%,31.80%,30.00%,90.60%,30.80%,91.70%,1,1,,,,,,,5.00%,C-
99,Danaher Corp,Instrumentation and other electronic manufacturing,Health Care,Health Care Equipment & Supplies,USA,"Washington, USA","$29,453,000,000.00","$5,692.90",28.10%,"$79,075",29.00%,,,,,,,,,,,,,18%,58%,16%,71%,0%,88.20%,,,"$3,101.30","$46,367.10",79.40%,60.10%,0.5,68.00%,,,12.00%,53.60%,29%,34.30%,22.20%,53.30%,14.30%,71.70%,22.20%,85.30%,0,1,,,,,,,,D+
100,Novavax Inc,Pharmaceutical and biotech manufacturing,Health Care,Biotechnology,USA,"Gaithersburg, USA","$1,146,290,000.00",,,,,,,,,,,,,,,,,7%,20%,12%,81%,87%,100.00%,,,"$3,309.50",,,32.00%,,,,,,0.00%,29%,34.00%,27.30%,66.00%,0.00%,0.00%,9.10%,65.50%,0,0,,,,,,,,D+
